DATE,TDSAMRIAOAIUS
1952-01-01,237110.0
1952-04-01,240859.0
1952-07-01,246655.0
1952-10-01,252482.0
1953-01-01,251963.0
1953-04-01,254451.0
1953-07-01,263710.0
1953-10-01,269931.0
1954-01-01,268419.0
1954-04-01,269499.0
1954-07-01,273964.0
1954-10-01,280885.0
1955-01-01,278873.0
1955-04-01,278871.0
1955-07-01,282691.0
1955-10-01,289087.0
1956-01-01,287547.0
1956-04-01,284081.0
1956-07-01,287739.0
1956-10-01,293178.0
1957-01-01,295988.0
1957-04-01,293028.0
1957-07-01,301235.0
1957-10-01,306746.0
1958-01-01,310132.0
1958-04-01,314114.0
1958-07-01,317319.0
1958-10-01,326950.0
1959-01-01,329532.0
1959-04-01,333418.0
1959-07-01,341392.0
1959-10-01,347784.0
1960-01-01,348740.0
1960-04-01,350013.0
1960-07-01,354830.0
1960-10-01,360610.0
1961-01-01,360759.0
1961-04-01,364037.0
1961-07-01,371892.0
1961-10-01,378823.0
1962-01-01,383143.0
1962-04-01,385807.0
1962-07-01,389067.0
1962-10-01,397645.0
1963-01-01,400658.0
1963-04-01,403729.0
1963-07-01,405926.0
1963-10-01,413174.0
1964-01-01,416926.0
1964-04-01,420061.0
1964-07-01,426253.0
1964-10-01,434504.0
1965-01-01,437767.0
1965-04-01,439673.0
1965-07-01,442876.0
1965-10-01,451523.0
1966-01-01,459471.0
1966-04-01,462367.0
1966-07-01,469917.0
1966-10-01,482102.0
1967-01-01,492183.0
1967-04-01,489826.0
1967-07-01,504916.0
1967-10-01,522085.0
1968-01-01,535248.0
1968-04-01,538839.0
1968-07-01,553534.0
1968-10-01,563821.0
1969-01-01,574901.0
1969-04-01,574018.0
1969-07-01,591849.0
1969-10-01,607162.0
1970-01-01,623772.0
1970-04-01,630002.0
1970-07-01,644112.0
1970-10-01,665296.0
1971-01-01,677433.0
1971-04-01,688598.0
1971-07-01,709229.0
1971-10-01,733471.0
1972-01-01,748474.0
1972-04-01,753245.0
1972-07-01,766429.0
1972-10-01,789179.0
1973-01-01,806172.0
1973-04-01,814467.0
1973-07-01,830222.0
1973-10-01,853254.0
1974-01-01,870962.0
1974-04-01,884969.0
1974-07-01,890367.0
1974-10-01,918958.0
1975-01-01,952252.0
1975-04-01,979473.0
1975-07-01,1012454.0
1975-10-01,1059766.0
1976-01-01,1097431.0
1976-04-01,1126528.0
1976-07-01,1158626.0
1976-10-01,1192443.0
1977-01-01,1226307.0
1977-04-01,1253027.0
1977-07-01,1289677.0
1977-10-01,1337362.0
1978-01-01,1377503.0
1978-04-01,1417629.0
1978-07-01,1455901.0
1978-10-01,1501225.0
1979-01-01,1544841.0
1979-04-01,1583816.0
1979-07-01,1629686.0
1979-10-01,1685944.0
1980-01-01,1749361.0
1980-04-01,1804606.0
1980-07-01,1857543.0
1980-10-01,1912167.0
1981-01-01,1978107.0
1981-04-01,2028324.0
1981-07-01,2104308.0
1981-10-01,2176152.0
1982-01-01,2249663.0
1982-04-01,2317668.0
1982-07-01,2418087.0
1982-10-01,2521392.0
1983-01-01,2612152.0
1983-04-01,2711595.0
1983-07-01,2810427.0
1983-10-01,2895873.0
1984-01-01,2994348.0
1984-04-01,3099921.0
1984-07-01,3230439.0
1984-10-01,3373867.0
1985-01-01,3501390.0
1985-04-01,3636643.0
1985-07-01,3777904.0
1985-10-01,4062728.0
1986-01-01,4182594.0
1986-04-01,4351294.0
1986-07-01,4544604.0
1986-10-01,4732282.0
1987-01-01,4886219.0
1987-04-01,5030730.0
1987-07-01,5162027.0
1987-10-01,5303331.0
1988-01-01,5408402.0
1988-04-01,5533776.0
1988-07-01,5672209.0
1988-10-01,5843876.0
1989-01-01,6002799.0
1989-04-01,6097380.0
1989-07-01,6207095.0
1989-10-01,6357508.0
1990-01-01,6468377.0
1990-04-01,6580644.0
1990-07-01,6710316.0
1990-10-01,6877551.0
1991-01-01,6987654.0
1991-04-01,7106325.0
1991-07-01,7292465.0
1991-10-01,7472336.0
1992-01-01,7642893.0
1992-04-01,7801949.0
1992-07-01,7971221.0
1992-10-01,8115464.0
1993-01-01,8302587.0
1993-04-01,8474221.0
1993-07-01,8687281.0
1993-10-01,8899037.0
1994-01-01,9135308.0
1994-04-01,9261248.0
1994-07-01,9404448.0
1994-10-01,9596882.0
1995-01-01,9752392.0
1995-04-01,9910600.0
1995-07-01,10040228.0
1995-10-01,10227903.0
1996-01-01,10424128.0
1996-04-01,10594544.0
1996-07-01,10721290.0
1996-10-01,10921828.0
1997-01-01,11083158.0
1997-04-01,11219510.0
1997-07-01,11366625.0
1997-10-01,11609494.0
1998-01-01,11924203.0
1998-04-01,12181123.0
1998-07-01,12404727.0
1998-10-01,12732058.0
1999-01-01,13105104.0
1999-04-01,13306717.0
1999-07-01,13596758.0
1999-10-01,13888838.0
2000-01-01,14071583.0
2000-04-01,14133146.0
2000-07-01,14325939.0
2000-10-01,14573469.0
2001-01-01,14880267.0
2001-04-01,15026823.0
2001-07-01,15392584.0
2001-10-01,15807198.0
2002-01-01,16127098.0
2002-04-01,16396470.0
2002-07-01,16673073.0
2002-10-01,17091692.0
2003-01-01,17512598.0
2003-04-01,17854463.0
2003-07-01,18236421.0
2003-10-01,18512085.0
2004-01-01,19686671.0
2004-04-01,19967619.0
2004-07-01,20328355.0
2004-10-01,20713943.0
2005-01-01,21172444.0
2005-04-01,21428376.0
2005-07-01,21597361.0
2005-10-01,22133362.0
2006-01-01,22631060.0
2006-04-01,23003726.0
2006-07-01,23325805.0
2006-10-01,23865401.0
2007-01-01,24614575.0
2007-04-01,25021522.0
2007-07-01,25591170.0
2007-10-01,26128100.0
2008-01-01,26551485.0
2008-04-01,26912323.0
2008-07-01,27411533.0
2008-10-01,28012870.0
2009-01-01,28777231.0
2009-04-01,28872142.0
2009-07-01,29043970.0
2009-10-01,29118752.0
2010-01-01,29176757.0
2010-04-01,29340311.0
2010-07-01,29692736.0
2010-10-01,30194227.0
2011-01-01,30499439.0
2011-04-01,30552589.0
2011-07-01,30734042.0
2011-10-01,31009303.0
2012-01-01,31473652.0
2012-04-01,31524477.0
2012-07-01,31969897.0
2012-10-01,32257876.0
2013-01-01,32694876.0
2013-04-01,32605512.0
2013-07-01,32846178.0
2013-10-01,33266016.0
2014-01-01,33530866.0
2014-04-01,33596125.0
2014-07-01,33893321.0
2014-10-01,34288525.0
2015-01-01,34511472.0
2015-04-01,34780251.0
2015-07-01,35053045.0
2015-10-01,35323965.0
2016-01-01,35815632.0
2016-04-01,36031621.0
2016-07-01,36465986.0
2016-10-01,36724310.0
2017-01-01,36909821.0
2017-04-01,37129380.0
2017-07-01,37494844.0
2017-10-01,37900551.0
2018-01-01,38459582.0
2018-04-01,38624896.0
2018-07-01,39021834.0
2018-10-01,39454487.0
2019-01-01,39997513.0
2019-04-01,40209637.0
2019-07-01,40820875.0
2019-10-01,41232304.0
