"International student mobility (% of total tertiary enrolment)"
"HDI Rank (2018)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","-7.4","","..","","..","","..",""
"69","Albania","-13.0","","..","","..","","-17.7","","-13.8","","-11.0","","-9.8","","-10.5","","-10.1","","-10.9",""
"82","Algeria","..","","-2.4","","-1.4","","-1.5","","-1.5","","-1.1","","-1.0","","-1.0","","-1.0","","-0.9",""
"36","Andorra","..","","..","","..","","..","","..","","-190.3","","..","","-226.5","","-214.2","","-208.1",""
"74","Antigua and Barbuda","..","","..","","-42.1","","-49.1","","-19.4","","..","","..","","..","","..","","..",""
"48","Argentina","-0.2","","..","","..","","..","","..","","..","","..","","..","","2.2","","..",""
"81","Armenia","..","","0.6","","-1.6","","-2.0","","-2.4","","-3.2","","-2.7","","-3.0","","-3.1","","-3.2",""
"6","Australia","..","","..","","..","","..","","..","","..","","..","","14.8","","16.8","","..",""
"20","Austria","..","","..","","14.1","","13.9","","10.3","","13.2","","11.6","","11.8","","12.3","","..",""
"87","Azerbaijan","..","","..","","-4.9","","-7.8","","-6.6","","-9.5","","-14.4","","-17.5","","-19.2","","-18.8",""
"45","Bahrain","..","","-13.5","","..","","..","","..","","..","","0.0","","-0.2","","-1.6","","-0.2",""
"135","Bangladesh","..","","-1.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"56","Barbados","..","","..","","3.3","","3.9","","..","","..","","..","","..","","..","","..",""
"50","Belarus","-1.1","","-1.3","","-4.5","","-5.1","","-5.0","","-4.4","","-3.9","","-2.7","","-2.1","","-2.0",""
"17","Belgium","8.0","","2.8","","5.5","","5.5","","6.2","","7.4","","8.6","","8.5","","9.3","","..",""
"163","Benin","..","","..","","3.8","","..","","..","","..","","3.3","","3.4","","3.5","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","-5.8","","-4.4","","-3.1","","-2.1","","-2.7","","-4.1","","-5.1",""
"94","Botswana","..","","-44.4","","..","","..","","..","","..","","-3.6","","-3.7","","-3.4","","-3.4",""
"79","Brazil","..","","..","","-0.3","","-0.3","","-0.3","","..","","-0.3","","-0.4","","-0.4","","..",""
"43","Brunei Darussalam","-53.3","","-46.2","","-53.9","","-46.3","","-38.5","","..","","-27.6","","-26.9","","-28.8","","-27.2",""
"52","Bulgaria","-2.5","","-4.4","","-4.3","","-4.6","","-4.8","","-4.7","","-4.7","","-4.5","","-4.4","","..",""
"182","Burkina Faso","..","","-7.8","","..","","-3.1","","-3.0","","-2.9","","..","","..","","..","","..",""
